"Port","Commodity","Region","Mode","State","trade_type","Tons_2019","Value_2019","Tons_2021","Value_2021","Tons_2022","Value_2022"
"Atlanta","03 Fish, Crustaceans & Aquatic Invertebrates","North America",4,"GA","Export",2.07231040564374e-05,0.003696,NA,NA,NA,NA
"Atlanta","03 Fish, Crustaceans & Aquatic Invertebrates","North America",4,"GA","Import",0.00377557319223986,0.374777,0.0317528659611993,2.993018,0,3.06174
"Atlanta","03 Fish, Crustaceans & Aquatic Invertebrates","South/Central America",4,"GA","Export",0.000247134038800705,0.026782,NA,NA,NA,NA
"Atlanta","03 Fish, Crustaceans & Aquatic Invertebrates","South/Central America",4,"GA","Import",0.261894400352734,19.917425,0.363385692239859,30.091227,0,26.980414
"Atlanta","04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Africa",4,"GA","Export",0.00115917107583774,0.059321,0.000540123456790123,0.730612,NA,NA
"Atlanta","04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Asia",4,"GA","Export",0.038363315696649,4.346238,0.0451151895943563,4.331952,0.00940343915343915,1.566756
"Atlanta","04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Australia and Oceania",4,"GA","Export",0.000178461199294533,0.012446,NA,NA,0.000278439153439153,0.403224
"Atlanta","04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Australia and Oceania",4,"GA","Import",0.00252832892416226,0.723487,NA,NA,0,0.115
"Atlanta","04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Europe",4,"GA","Export",0.0214097222222222,8.006356,0.0527103174603175,19.434329,0.0247719356261023,12.690776
"Atlanta","04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Europe",4,"GA","Import",0.0388629850088183,14.059497,0.0828327821869489,29.258417,0,33.085973
"Atlanta","04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","South/Central America",4,"GA","Import",0.00143331128747795,0.061428,0.000709545855379189,0.018565,0,0.042234
"Atlanta","05 Products Of Animal Origin, Nesoi","Africa",4,"GA","Export",3.30687830687831e-06,0.0315,NA,NA,1.88492063492063e-05,0.090492
"Atlanta","05 Products Of Animal Origin, Nesoi","Africa",4,"GA","Import",7.90343915343915e-05,0.021766,3.25176366843033e-05,0.049177,NA,NA
"Atlanta","05 Products Of Animal Origin, Nesoi","Asia",4,"GA","Export",0.00166347001763668,0.372461,0.000138007054673721,0.851038,0.000720789241622575,0.637293
"Atlanta","05 Products Of Animal Origin, Nesoi","Asia",4,"GA","Import",0.00115939153439153,0.053912,0.00141975308641975,0.326467,0,0.011643
"Atlanta","05 Products Of Animal Origin, Nesoi","Europe",4,"GA","Export",0.000141424162257496,0.430959,0.000651234567901235,0.52185,0.00353450176366843,3.584859
"Atlanta","05 Products Of Animal Origin, Nesoi","Europe",4,"GA","Import",0.000389219576719577,0.114888,4.62962962962963e-05,0.173583,0,0.094418
"Atlanta","05 Products Of Animal Origin, Nesoi","South/Central America",4,"GA","Export",0.013308311287478,1.094549,0.000764770723104056,0.054593,0.00175606261022928,0.194478
"Atlanta","05 Products Of Animal Origin, Nesoi","South/Central America",4,"GA","Import",0.00852028218694885,1.806234,0.018992614638448,1.895603,0,0.422607
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Africa",4,"GA","Import",0.0188454585537919,3.185569,0.0151394400352734,7.530001,0,8.35266
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Asia",4,"GA","Export",0.00700705467372134,0.800787,0.0032281746031746,0.453762,0.00386992945326279,0.592012
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Asia",4,"GA","Import",0.00730291005291005,4.525787,0.0266202601410935,11.368669,0,11.550314
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Australia and Oceania",4,"GA","Import",6.8342151675485e-06,0.012776,NA,NA,0,0.01255
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Europe",4,"GA","Import",0.0142735890652557,3.695415,0.021116512345679,6.305847,0,4.852136
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","North America",4,"GA","Export",6.95546737213404e-05,0.0106,0.000328042328042328,0.017172,8.99470899470899e-05,0.016884
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","North America",4,"GA","Import",0.011422619047619,2.11957,0.00781911375661376,1.293457,0,2.609562
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","South/Central America",4,"GA","Export",0.00246957671957672,0.065098,NA,NA,1.62037037037037e-05,0.002722
"Atlanta","06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","South/Central America",4,"GA","Import",0.041237323633157,6.848172,0.0622016093474427,5.932156,0,6.891948
"Atlanta","07 Edible Vegetables & Certain Roots & Tubers","Africa",4,"GA","Export",0.00110482804232804,0.032892,0.000542879188712522,0.033332,0.000391203703703704,0.027057
"Atlanta","07 Edible Vegetables & Certain Roots & Tubers","Africa",4,"GA","Import",1.23456790123457e-05,0.010111,2.60141093474427e-05,0.003468,0,0.002204
"Atlanta","07 Edible Vegetables & Certain Roots & Tubers","Asia",4,"GA","Export",0.00137610229276896,0.070821,0.00154761904761905,0.01847,0.00085218253968254,0.016565
"Atlanta","07 Edible Vegetables & Certain Roots & Tubers","Asia",4,"GA","Import",0.000108465608465608,0.019454,0.000133818342151675,0.075001,NA,NA
"Atlanta","07 Edible Vegetables & Certain Roots & Tubers","Australia and Oceania",4,"GA","Export",0.000522486772486773,0.011712,NA,NA,NA,NA
"Atlanta","07 Edible Vegetables & Certain Roots & Tubers","Europe",4,"GA","Export",0.000838844797178131,0.122983,0.0131231261022928,0.469376,0.00687610229276896,0.146903
"Atlanta","07 Edible Vegetables & Certain Roots & Tubers","Europe",4,"GA","Import",3.74779541446208e-05,0.044717,0.00108035714285714,0.133987,0,0.066623
"Atlanta","07 Edible Vegetables & Certain Roots & Tubers","North America",4,"GA","Import",0.000287477954144621,0.013747,7.33024691358025e-05,0.003237,NA,NA
"Atlanta","07 Edible Vegetables & Certain Roots & Tubers","South/Central America",4,"GA","Export",0.000421296296296296,0.012515,0.00050407848324515,0.080392,0.0069239417989418,0.182998
"Atlanta","07 Edible Vegetables & Certain Roots & Tubers","South/Central America",4,"GA","Import",0.00180103615520282,0.090353,0.00624393738977072,0.28015,0,0.122913
"Atlanta","08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel","Africa",4,"GA","Import",0.00903626543209876,0.333385,0.0147806437389771,0.857633,0,0.864044
"Atlanta","08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel","Asia",4,"GA","Export",0.00457716049382716,0.1984,0.00033994708994709,0.024618,NA,NA
"Atlanta","08 Edible Fruit & Nuts; Citrus Fruit Or Melon Peel","Asia",4,"GA","Import",0.0159433421516755,0.801094,0.00698115079365079,0.750596,0,0.63473
